;TotalScore_MES;TotalDispersion_MES;TotalScore_EPI;TotalDispersion_EPI
TCGA.AO.A12D.01;0.247186888023992;4456.6956;0.314568659173278;3241.7049
TCGA.AO.A12E.01;0.207412476077634;4788.798;0.301169576183176;3716.1369
TCGA.AO.A12F.01;0.229886022306837;4960.7796;0.165059662161685;6948.2049
TCGA.AO.A12G.01;0.217803543029787;4554.5472;0.262921503104976;4305.4704
TCGA.AO.A12H.01;0.119092215811673;4228.3752;0.264917659858563;3788.043
TCGA.AO.A1KO.01;0.23607624569163;5177.2392;0.254526411721901;4213.5492
TCGA.AO.A1KP.01;0.12555140100389;4849.5846;0.276248878464397;4217.2557
TCGA.AO.A1KQ.01;0.164373313128969;5147.5872;0.277676319526376;3767.2866
TCGA.AO.A1KR.01;0.0997249147701637;4822.8978;0.209934156146015;5472.2766
TCGA.AO.A1KS.01;0.18624330671842;4047.498;0.247341519071404;4769.5242
TCGA.AO.A1KT.01;0.214685871360079;5457.4506;0.283997541452662;3913.3227
TCGA.AQ.A04H.01;0.151878308552517;3639.783;0.274918931520979;4302.5052
TCGA.AQ.A04J.01;0.263050653887758;4247.649;0.205665256063357;6344.7867
TCGA.AQ.A04L.01;0.188220967067121;5224.6824;0.285342324457601;3315.0936
TCGA.AQ.A0Y5.01;0.263463472173879;4093.4586;0.29483245847669;3454.458
TCGA.AQ.A1H2.01;0.12271411762362;4075.6674;0.281334115170226;3785.0778
TCGA.AQ.A1H3.01;0.242597251081414;5054.1834;0.28752781761535;3413.6865
TCGA.AQ.A54N.01;0.0627678631072296;5002.2924;0.200188983164603;6055.6797
TCGA.AQ.A54O.01;0.119938654440917;4453.7304;0.262736052335973;4184.6385
TCGA.AQ.A7U7.01;0.280231688037118;4367.7396;0.221771567041336;5487.8439
TCGA.AR.A0TP.01;0.167588842362598;6090.5208;0.201322882152218;6085.3317
TCGA.AR.A0TQ.01;0.190286816418038;4317.3312;0.293319886680749;3922.9596
TCGA.AR.A0TR.01;0.0408193490772676;2768.0142;0.289577313542498;3563.4291
TCGA.AR.A0TS.01;0.25483618526605;4606.4382;0.197682042007248;7186.9035
TCGA.AR.A0TT.01;0.245205418847953;4591.6122;0.22864737507683;5002.2924
TCGA.AR.A0TU.01;0.127079619726679;4169.0712;0.166377245720503;6515.2857
TCGA.AR.A0TV.01;0.129205824341571;4430.0088;0.236452909634256;4171.2951
TCGA.AR.A0TW.01;0.159481899866515;3997.0896;0.277776286321858;3352.8999
TCGA.AR.A0TX.01;0.236779706802331;4692.429;0.271192254162928;4109.0259
TCGA.AR.A0TY.01;0.128305769142873;3653.1264;0.308891039725321;2792.4771
TCGA.AR.A0TZ.01;0.164769724158864;4507.104;0.280496937413015;3495.9708
TCGA.AR.A0U0.01;0.15886838567834;4682.0508;0.23605798780617;5149.8111
TCGA.AR.A0U2.01;0.140974807830011;3874.0338;0.294318494916883;3667.9524
TCGA.AR.A0U3.01;0.1186673850701;3386.2584;0.313682381117226;3332.1435
TCGA.AR.A0U4.01;0.232328066604085;4659.8118;0.17722381965001;6473.7729
TCGA.AR.A1AH.01;0.147651682153945;4665.7422;0.168574749023293;7023.8175
TCGA.AR.A1AI.01;0.168206751351548;4836.2412;0.207042183868256;6285.4827
TCGA.AR.A1AJ.01;0.276277539286589;3970.4028;0.182272319441599;6433.0014
TCGA.AR.A1AK.01;0.246024609712392;4409.2524;0.2617978480646;4805.1066
TCGA.AR.A1AL.01;0.277005025308193;4473.0042;0.263155700933259;4502.6562
TCGA.AR.A1AM.01;0.213430130285334;5202.4434;0.304242053876098;3364.0194
TCGA.AR.A1AN.01;0.252834792993164;4527.8604;0.274191611266929;3893.3076
TCGA.AR.A1AO.01;0.300516037506988;3398.1192;0.227821854225098;5001.5511
